# Author: Diyar Erol
date,close,high,low,open,volume,apple iphone,macbook,fed_rate,us_cpi,usd_index,macro_sentiment_index,rsi_14,macd,macd_signal,macd_hist,bb_mid_20,bb_upper_20,bb_lower_20,atr_14,obv,vwap_20
2015-01-30,25.97339630126953,26.602999818446985,25.904670734938115,26.24829349247566,334982000,25.0,74.0,0.11,234.747,105.5884,0.0665386872434629,58.4343591615084,0.37929059965612666,0.17445878636202256,0.2048318132941041,24.5282995223999,26.121396622085445,22.935202422714358,0.7607200224903473,1375178400.0,24.679153132041662
2015-02-02,26.29928207397461,26.41899577815114,25.73396933307641,26.17070219145008,250956400,22.0,68.0,0.11,235.342,105.2058,0.0617661153192297,66.0396012219214,0.45133969428538023,0.2298349679466941,0.22150472633868612,24.63138618469238,26.40217894713907,22.860593422245692,0.7490020598736769,1626134800.0,24.766855491462433
2015-02-03,26.30371856689453,26.40126175743149,26.073159013253253,26.27046447611845,207662800,22.0,68.0,0.11,235.342,104.6063,0.0571621627549165,64.89921737527851,0.5029988511163275,0.2844677445806208,0.21853110653570668,24.768835067749023,26.612989126653872,22.924681008844175,0.7108393651179526,1833797600.0,24.880486331652683
2015-02-04,26.50545310974121,26.71606119188214,26.22833854748188,26.27046050218468,280598800,22.0,68.0,0.11,235.342,104.785,0.058534516922127,66.95615338900046,0.5538331528933966,0.33834082624317596,0.21549232665022067,24.916259860992433,26.82285825877725,23.009661463207618,0.7141648441718497,2114396400.0,25.034878592220387
2015-02-05,26.694639205932617,26.75918372529074,26.54106770476852,26.71244324385506,168984800,22.0,68.0,0.11,235.342,104.4915,0.05628053847738,75.50018754410189,0.6024408767409177,0.39116083634272436,0.21128004039819337,25.056628036499024,27.055394396977825,23.057861676020224,0.6784491494229068,2283381200.0,25.124012152380413
2015-02-06,26.4698486328125,26.76363650826612,26.36301590626183,26.712445437657788,174826400,22.0,68.0,0.11,235.342,105.1283,0.0611709421353526,74.9825603239676,0.6157264166376173,0.43607395240170294,0.17965246423591436,25.139866447448732,27.231046505350193,23.04868638954727,0.6693772374452133,2108554800.0,25.196180313521026
2015-02-09,26.645675659179688,26.67238256646888,26.35856451948115,26.38527312481888,155559200,22.0,68.0,0.11,235.342,104.9889,0.0601003983697726,73.03661837127524,0.6331445777297056,0.4754880774673035,0.15765650026240208,25.23056631088257,27.420488869635157,23.04064375212998,0.6446046572903182,2264114000.0,25.254681235227206
2015-02-10,27.15757369995117,27.186508442480807,26.743601417936667,26.74582586117105,248034000,22.0,68.0,0.11,235.342,105.2897,0.062410438288614,74.5483940089618,0.6804111336584988,0.5164726887055425,0.16393844495295629,25.37745409011841,27.673450102955407,23.08145807728141,0.6390555757801,2512148000.0,25.37140506756638
2015-02-11,27.79411697387696,27.80301984182764,27.26440906617443,27.32450130228101,294247200,22.0,68.0,0.11,235.342,105.7901,0.0662533371429632,74.56892225349249,0.7604677433898601,0.5652716996424061,0.19519604374745403,25.54541711807251,28.034451028018797,23.056383208126224,0.6389202333843753,2806395200.0,25.542522091908012
2015-02-12,28.14576911926269,28.37278797867428,27.94768500160746,28.05674214886694,297898000,22.0,68.0,0.11,235.342,104.9385,0.059713343808903,75.50259123960416,0.8425758823453151,0.620732536182988,0.22184334616232715,25.735618305206298,28.411715290711694,23.059521319700902,0.6450998915893721,3104293200.0,25.735738632699675
