# Author: Diyar Erol
date,close,high,low,open,volume,apple iphone,macbook,fed_rate,us_cpi,usd_index,macro_sentiment_index,rsi_14,macd,macd_signal,macd_hist,bb_mid_20,bb_upper_20,bb_lower_20,atr_14,obv,vwap_20,close_AAPL,close_AMZN,close_GOOGL,close_MSFT,close_XLK,close_IXIC,rel_AAPL_MSFT,rel_AAPL_IXIC,vix,gold,oil,tnote_10y,unemployment,dow,month,quarter,year,is_month_end,is_quarter_end,days_to_earnings,daily_return,close_lag_1,close_lag_2,close_lag_7,volume_lag_1,return_lag_1,return_lag_7,rolling_max_30d,rolling_min_30d
2015-03-30,28.125741958618164,28.13241868495542,27.598258503345505,27.60938751260654,188398800,25.0,82.0,0.11,235.976,107.3941,0.0766169320178304,54.06113605753529,0.0629579931545869,0.1684897383380179,-0.1055317451834309,28.019356632232665,28.898130000107976,27.14058326435736,0.5591179654445286,3880499600.0,28.04495112576604,28.125747680664062,18.72949981689453,27.86481475830078,35.162986755371094,18.473169326782227,4947.43994140625,0.7998679940454119,0.0056849093700508,14.510000228881836,1184.800048828125,48.68000030517578,1.96,5.4,0,3,1,2015,0,0,,2.5314353021015368,27.43133544921875,27.65167808532715,28.37724494934082,158184800.0,-0.7968508653560469,-0.755037826936189,29.601354598999023,27.20654487609864
2015-03-31,27.693965911865234,28.15245262749894,27.678386315646087,28.063425635654404,168362400,25.0,82.0,0.11,235.976,107.4396,0.0769663562741712,54.85158883273975,0.038846990577614,0.1425611887859371,-0.103714198208323,27.96449403762817,28.774700492040832,27.15428758321552,0.5506922474552606,3712137200.0,28.012971401226512,27.693965911865234,18.604999542236328,27.54501914978028,34.90543746948242,18.2834529876709,4900.8798828125,0.7933997657550597,0.0056508150728175,15.289999961853027,1183.0999755859375,47.59999847412109,1.94,5.4,1,3,1,2015,1,1,,-1.5351632230296677,28.125741958618164,27.43133544921875,28.02113914489746,188398800.0,2.5314353021015368,-1.2548991457031144,29.601354598999023,27.20654487609864
2015-04-01,27.65389442443848,27.84752793834553,27.39794254689644,27.78075729270915,162485600,25.0,77.0,0.12,236.222,107.06,0.0714165891443049,49.51305704713395,0.0163173173043205,0.1173124144896138,-0.1009950971852933,27.91675329208374,28.678183948758274,27.15532263540921,0.5308202173120772,3549651600.0,27.978898823033404,27.653902053833008,18.51300048828125,27.28630256652832,34.95694732666016,18.25698471069336,4880.22998046875,0.7910845817118181,0.0056665161610225,15.109999656677246,1208.0999755859375,50.09000015258789,1.87,5.4,2,4,2,2015,0,0,,-0.1446939291912197,27.693965911865234,28.125741958618164,28.31269264221192,168362400.0,-1.5351632230296677,1.0404769620779408,29.601354598999023,27.20654487609864
2015-04-02,27.892053604125977,27.94546912676751,27.640553891058623,27.827509069328407,128880400,25.0,77.0,0.12,236.222,106.6738,0.0684507067751009,54.1687299513773,0.0174783646316036,0.0973456045180118,-0.0798672398864081,27.90462350845337,28.659136644585185,27.15011037232156,0.5077686057903537,3678532000.0,27.95883475850213,27.89204788208008,18.612499237060547,26.88010597229004,34.58780670166016,18.25256729125977,4886.93994140625,0.8064127373749116,0.0057074668844925,14.670000076293944,1200.9000244140625,49.13999938964844,1.92,5.4,3,4,2,2015,0,0,,0.8612138891982868,27.65389442443848,27.693965911865234,28.19696807861328,162485600.0,-0.1446939291912197,-0.4087373993743814,29.601354598999023,27.20654487609864
2015-04-06,28.34385681152344,28.3794682833922,27.671706411460807,27.70286560032175,148776000,25.0,77.0,0.12,236.222,105.7876,0.0616449974131418,55.60220974139403,0.054230114955267,0.0887225066054628,-0.0344923916501958,27.91296968460083,28.68368472510463,27.14225464409704,0.5252560748978572,3827308000.0,27.93628402253253,28.343854904174805,18.85199928283692,27.01120376586914,35.66947555541992,18.429054260253903,4917.31982421875,0.7946249408723924,0.005764086111417,14.739999771118164,1218.5999755859375,52.13999938964844,1.92,5.4,0,4,2,2015,0,0,,1.6198276893123031,27.892053604125977,27.65389442443848,27.460268020629883,128880400.0,0.8612138891982868,-2.61269245661262,29.601354598999023,27.20654487609864
2015-04-07,28.045616149902344,28.51523008704785,28.038939423968984,28.408399076017474,140049200,25.0,77.0,0.12,236.222,106.4488,0.0667227846283612,47.508418457670565,0.0586149364760544,0.0827009925795811,-0.0240860561035267,27.9003945350647,28.652705996650063,27.14808307347933,0.5215995102764206,3687258800.0,27.90990607833425,28.045616149902344,18.72050094604492,27.05638885498047,35.652305603027344,18.389345169067383,4910.22998046875,0.7866424253785401,0.0057116705859925,14.779999732971191,1210.5999755859375,53.97999954223633,1.89,5.4,1,4,2,2015,0,0,,-1.0522232863519276,28.34385681152344,27.892053604125977,27.65167808532715,148776000.0,1.6198276893123031,0.6970436870953556,29.416627883911133,27.20654487609864
2015-04-08,27.954364776611328,28.13241873682573,27.81414842912516,28.01000642692228,149316800,25.0,77.0,0.12,236.222,106.4231,0.0665254175209335,42.69716726000999,0.0541030496389076,0.0769814039914464,-0.0228783543525388,27.91252431869507,28.659836716285923,27.165211921104216,0.4999787413119446,3537942000.0,27.915967715230657,27.95436668395996,19.059999465942383,27.254026412963867,35.55786895751953,18.446701049804688,4950.81982421875,0.7861654115817974,0.0056464116401915,13.979999542236328,1203.0999755859375,50.41999816894531,1.92,5.4,2,4,2,2015,0,0,,-0.3253676895643265,28.045616149902344,28.34385681152344,27.43133544921875,140049200.0,-1.0522232863519276,-0.7968508653560469,29.02713966369629,27.20654487609864
2015-04-09,28.16803359985352,28.172485883590006,27.74515833951772,28.010011488182474,129936000,25.0,77.0,0.12,236.222,107.0335,0.0712130783136888,47.60694221727705,0.0669963430064619,0.0749843917944495,-0.0079880487879876,27.960598754882813,28.63703136858201,27.28416614118361,0.501091571571427,3667878000.0,27.96173872958193,28.168027877807617,19.177000045776367,27.213308334350582,35.609378814697266,18.4952335357666,4974.56005859375,0.7910283418418314,0.0056624158812086,13.09000015258789,1193.5999755859375,50.790000915527344,1.97,5.4,3,4,2,2015,0,0,,0.7643486981359082,27.954364776611328,28.045616149902344,28.125741958618164,149316800.0,-0.3253676895643265,2.5314353021015368,29.02713966369629,27.20654487609864
2015-04-10,28.2882080078125,28.312690464019965,27.878686373156768,28.032256137128662,160752000,25.0,77.0,0.12,236.222,107.4526,0.0744316212990161,53.22914893783851,0.0859209974990626,0.0771717129353722,0.0087492845636904,27.99008836746216,28.669811265643048,27.310365469281265,0.4805837416352406,3828630000.0,27.99522319147904,28.288219451904297,19.13249969482422,27.23912811279297,35.8154182434082,18.565824508666992,4995.97998046875,0.7898335644066008,0.0056621963183387,12.579999923706056,1204.5999755859375,51.63999938964844,1.96,5.4,4,4,2,2015,0,0,,0.4266339981914946,28.16803359985352,27.954364776611328,27.693965911865234,129936000.0,0.7643486981359082,-1.5351632230296677,28.79121780395508,27.20654487609864
2015-04-13,28.23257637023925,28.615392939431228,28.179160855071164,28.57087689703536,145460400,25.0,77.0,0.12,236.222,107.7508,0.0767216941174951,48.97269989845354,0.0953309979076593,0.0808035699298296,0.0145274279778296,28.026366806030275,28.674233131975345,27.378500480085204,0.4807434645441218,3683169600.0,28.03590842858508,28.23257637023925,19.11800003051757,27.24409294128418,35.849761962890625,18.51287841796875,4988.25,0.7875247930366681,0.0056598158412748,13.9399995803833,1199.300048828125,51.90999984741211,1.94,5.4,0,4,2,2015,0,0,,-0.1966601686394731,28.2882080078125,28.16803359985352,27.65389442443848,160752000.0,0.4266339981914946,-0.1446939291912197,28.79121780395508,27.20654487609864
