# GitHub: https://github.com/DiyarErol/Apple_Financial_and_Social_Analysis_Dataset
# Author: Diyar Erol
date,close,high,low,open,volume,apple iphone,macbook,fed_rate,us_cpi,usd_index,macro_sentiment_index,daily_return,volatility_7d,ma7,ma30,trend_delta,macro_delta,next_day_close
2015-02-13,28.28376579284668,28.32827843655033,27.96549546602483,28.32827843655033,217088800,22.0,68.0,0.11,235.342,104.8452,0.0589968320920548,0.004902927789937151,0.010443871172060016,27.3130555834089,25.362194442749022,-46.0,104.7352,28.4506893157959
2015-02-17,28.4506893157959,28.68438492854948,28.24815289166968,28.375015787666307,252609600,22.0,68.0,0.11,235.342,104.8452,0.0589968320920548,0.005901743218063127,0.010498133096459793,27.563919884817942,25.50263245900472,-46.0,104.7352,28.64877700805664
2015-02-18,28.64877700805664,28.662130462538304,28.36611643583812,28.406178497331744,179566800,22.0,68.0,0.11,235.342,105.2514,0.062116307540969,0.006962491842008319,0.0073289986937138014,27.875195366995676,25.67243366241455,-46.0,105.1414,28.58867835998535
2015-02-19,28.58867835998535,28.71776739221714,28.56197145541902,28.595355086126933,149449600,22.0,68.0,0.11,235.342,105.1407,0.061266169844773,-0.0020977735997033333,0.008857280909577695,28.152767181396484,25.84015769958496,-46.0,105.0307,28.822378158569336
2015-02-20,28.822378158569336,28.822378158569336,28.499657229063484,28.62651844031598,195793600,22.0,68.0,0.11,235.342,105.3387,0.062786741333904,0.008174557621771225,0.007904167795860555,28.390596389770508,26.00466111501058,-46.0,105.2287,29.601354598999023
2015-02-23,29.601354598999023,29.601354598999023,28.857983050448208,28.9381071536277,283896400,22.0,68.0,0.11,235.342,105.5359,0.0643011690998466,0.027026792728346943,0.009061292625536564,28.648773193359375,26.164536921183267,-46.0,105.4259,29.416627883911133
2015-02-24,29.416627883911133,29.734899896206425,29.19406127808952,29.588005121300903,276912400,22.0,68.0,0.11,235.342,105.5472,0.0643879491898828,-0.006240481815455067,0.010515142539255139,28.83032444545201,26.31736857096354,-46.0,105.4372,28.66435813903809
2015-02-25,28.66435813903809,29.289773295274617,28.521915615006805,29.28086872721773,298846800,22.0,68.0,0.11,235.342,105.0503,0.0605719291244829,-0.025572942889367786,0.016068999683995402,28.88469478062221,26.465519905090332,-46.0,104.9403,29.02713966369629
2015-02-26,29.02713966369629,29.12729396862077,28.17916134131984,28.664354967712665,365150000,22.0,68.0,0.11,235.342,105.5021,0.0640415967951364,0.012656188668119038,0.016536786338551275,28.967044830322266,26.618596013387045,-46.0,105.3921,28.59091186523437
2015-02-27,28.59091186523437,29.06052760813656,28.54194693309501,28.93366299411255,248059200,22.0,68.0,0.11,235.342,105.5981,0.0647788435777453,-0.015028273660993878,0.01770334943899719,28.958778381347656,26.76023489634196,-46.0,105.4881,28.73112678527832
2015-03-02,28.73112678527832,28.99598163064792,28.555300633699616,28.76673826279468,192386800,25.0,82.0,0.11,235.976,105.8151,0.0644907583747101,0.004904177967630536,0.017772930545774546,28.97912815638951,26.92856896718343,-57.0,105.7051,28.79121780395508
2015-03-03,28.79121780395508,28.826829277853392,28.50855724854495,28.702192515306365,151265200,25.0,82.0,0.11,235.976,105.5562,0.0625024959578617,0.0020914953710604797,0.017501505574032697,28.9746766771589,27.105039405822755,-57.0,105.4462,28.60870933532715
