# Author: Diyar Erol
date,close,high,low,open,volume,apple iphone,macbook,fed_rate,us_cpi,usd_index,macro_sentiment_index
2015-02-04,26.50545310974121,26.71606119188214,26.22833854748188,26.27046050218468,280598800,22.0,68.0,0.11,235.342,104.785,0.05853451692212708
2015-02-05,26.694639205932617,26.75918372529074,26.54106770476852,26.71244324385506,168984800,22.0,68.0,0.11,235.342,104.4915,0.056280538477380015
2015-02-06,26.4698486328125,26.76363650826612,26.36301590626183,26.712445437657788,174826400,22.0,68.0,0.11,235.342,105.1283,0.06117094213535268
2015-02-09,26.645675659179688,26.67238256646888,26.35856451948115,26.385273124818877,155559200,22.0,68.0,0.11,235.342,104.9889,0.060100398369772656
2015-02-10,27.15757369995117,27.186508442480807,26.743601417936667,26.74582586117105,248034000,22.0,68.0,0.11,235.342,105.2897,0.062410438288614034
2015-02-11,27.794116973876957,27.80301984182764,27.26440906617443,27.32450130228101,294247200,22.0,68.0,0.11,235.342,105.7901,0.06625333714296322
2015-02-12,28.14576911926269,28.37278797867428,27.94768500160746,28.05674214886694,297898000,22.0,68.0,0.11,235.342,104.9385,0.05971334380890303
2015-02-13,28.28376579284668,28.328278436550335,27.96549546602483,28.328278436550335,217088800,22.0,68.0,0.11,235.342,104.8452,0.05899683209205486
2015-02-17,28.4506893157959,28.684384928549477,28.24815289166968,28.375015787666307,252609600,22.0,68.0,0.11,235.342,104.8452,0.05899683209205486
2015-02-18,28.64877700805664,28.662130462538304,28.36611643583812,28.406178497331744,179566800,22.0,68.0,0.11,235.342,105.2514,0.062116307540969085
2015-02-19,28.58867835998535,28.71776739221714,28.56197145541902,28.595355086126933,149449600,22.0,68.0,0.11,235.342,105.1407,0.061266169844773066
2015-02-20,28.822378158569336,28.822378158569336,28.499657229063484,28.62651844031598,195793600,22.0,68.0,0.11,235.342,105.3387,0.06278674133390405
2015-02-23,29.601354598999023,29.601354598999023,28.857983050448208,28.9381071536277,283896400,22.0,68.0,0.11,235.342,105.5359,0.06430116909984662
2015-02-24,29.416627883911133,29.734899896206425,29.19406127808952,29.588005121300903,276912400,22.0,68.0,0.11,235.342,105.5472,0.06438794918988289
2015-02-25,28.66435813903809,29.289773295274617,28.521915615006805,29.28086872721773,298846800,22.0,68.0,0.11,235.342,105.0503,0.06057192912448295
2015-02-26,29.02713966369629,29.12729396862077,28.179161341319837,28.664354967712665,365150000,22.0,68.0,0.11,235.342,105.5021,0.06404159679513644
2015-02-27,28.59091186523437,29.06052760813656,28.54194693309501,28.93366299411255,248059200,22.0,68.0,0.11,235.342,105.5981,0.06477884357774533
2015-03-02,28.73112678527832,28.99598163064792,28.555300633699616,28.76673826279468,192386800,25.0,82.0,0.11,235.976,105.8151,0.06449075837471019
2015-03-03,28.79121780395508,28.826829277853392,28.50855724854495,28.702192515306365,151265200,25.0,82.0,0.11,235.976,105.5562,0.06250249595786173
2015-03-04,28.60870933532715,28.835728218754888,28.55974780762392,28.733349484334305,126665200,25.0,82.0,0.11,235.976,106.1333,0.06693442427289953
2015-03-05,28.1346492767334,28.655454390000926,27.98998062369841,28.617618469406004,226068400,25.0,82.0,0.11,235.976,106.1333,0.06693442427289953
2015-03-06,28.17693328857422,28.7934420686846,28.101261454083147,28.57755217915056,291368400,25.0,82.0,0.11,235.976,107.4337,0.07692104631565677
2015-03-09,28.297119140625,28.83795777809001,27.83418017642311,28.479623696005756,354114000,25.0,82.0,0.11,235.976,107.5199,0.07758303248920784
2015-03-10,27.711769104003903,28.3149244137179,27.553747014570217,28.13464600287989,275426400,25.0,82.0,0.11,235.976,108.1165,0.08216471405696302
2015-03-11,27.206544876098636,27.769638188666637,27.177611824964035,27.76518760312618,275756000,25.0,82.0,0.11,235.976,108.5235,0.08529033322906554
2015-03-12,27.698415756225582,27.79857175613911,27.070777942685456,27.22212331535712,193450800,25.0,82.0,0.11,235.976,108.1741,0.08260706212652835
2015-03-13,27.507007598876957,27.90985433352595,27.282216536512934,27.687287714754685,207309200,25.0,82.0,0.11,235.976,108.9174,0.08831534893395798
2015-03-16,27.80970001220703,27.80970001220703,27.346762707780687,27.57155378369179,143497200,25.0,82.0,0.11,235.976,108.6422,0.08620190815714568
2015-03-17,28.274864196777344,28.33718257998601,27.965496724385357,28.021138380542887,204092400,25.0,82.0,0.11,235.976,108.5805,0.08572807350623968
2015-03-18,28.5931339263916,28.746705437477463,28.12574436427423,28.26596072349488,261083600,25.0,82.0,0.11,235.976,108.408,0.08440333319373916
2015-03-19,28.37724494934082,28.76673654668471,28.354988626245177,28.65545323315789,183238000,25.0,82.0,0.11,235.976,108.1826,0.08267233918540517
2015-03-20,28.02113914489746,28.57755402360196,27.856440313632152,28.54417038743568,274780400,25.0,82.0,0.11,235.976,107.1671,0.07487365056311979
2015-03-23,28.312692642211918,28.455135108533188,28.159121168377236,28.29266246634555,150838800,25.0,82.0,0.11,235.976,106.5022,0.0697674486281542
2015-03-24,28.19696807861328,28.497431004034567,28.16803332875073,28.317154267611016,131369200,25.0,82.0,0.11,235.976,106.4401,0.069290542115654
2015-03-25,27.460268020629883,28.22589771049454,27.460268020629883,28.16357933072388,206620800,25.0,82.0,0.11,235.976,106.2636,0.06793508318721142
2015-03-26,27.65167808532715,27.794120594999196,27.28666894203646,27.3222804184788,190291600,25.0,82.0,0.11,235.976,106.5582,0.07019750925134272
2015-03-27,27.43133544921875,27.75405636351956,27.35566361476696,27.72512331470832,158184800,25.0,82.0,0.11,235.976,106.8916,0.07275790589011177
2015-03-30,28.125741958618164,28.13241868495542,27.598258503345505,27.60938751260654,188398800,25.0,82.0,0.11,235.976,107.3941,0.07661693201783049
2015-03-31,27.693965911865234,28.15245262749894,27.678386315646087,28.063425635654404,168362400,25.0,82.0,0.11,235.976,107.4396,0.07696635627417125
2015-04-01,27.65389442443848,27.84752793834553,27.39794254689644,27.78075729270915,162485600,25.0,77.0,0.12,236.222,107.06,0.07141658914430493
2015-04-02,27.892053604125977,27.94546912676751,27.640553891058623,27.827509069328407,128880400,25.0,77.0,0.12,236.222,106.6738,0.0684507067751009
2015-04-06,28.34385681152344,28.3794682833922,27.671706411460807,27.70286560032175,148776000,25.0,77.0,0.12,236.222,105.7876,0.06164499741314189
2015-04-07,28.045616149902344,28.51523008704785,28.038939423968984,28.408399076017474,140049200,25.0,77.0,0.12,236.222,106.4488,0.06672278462836123
2015-04-08,27.954364776611328,28.13241873682573,27.81414842912516,28.01000642692228,149316800,25.0,77.0,0.12,236.222,106.4231,0.06652541752093355
2015-04-09,28.16803359985352,28.172485883590006,27.74515833951772,28.010011488182474,129936000,25.0,77.0,0.12,236.222,107.0335,0.07121307831368884
2015-04-10,28.2882080078125,28.312690464019965,27.878686373156768,28.032256137128662,160752000,25.0,77.0,0.12,236.222,107.4526,0.07443162129901615
2015-04-13,28.232576370239254,28.615392939431228,28.179160855071164,28.57087689703536,145460400,25.0,77.0,0.12,236.222,107.7508,0.07672169411749519
