# Author: Diyar Erol
date,close,high,low,open,volume,apple iphone,macbook
2015-01-02,24.237548828125,24.705318351259162,23.798598610986176,24.694233092060063,212818400,25.0,74.0
2015-01-05,23.55474090576172,24.0868012739077,23.36852070716593,24.006992134117137,257142000,25.0,74.0
2015-01-06,23.556957244873047,23.81633609193056,23.19559874156603,23.619030641634858,263188400,25.0,74.0
2015-01-07,23.88727569580078,23.987036263456744,23.654498782772745,23.76534460966741,160423600,25.0,74.0
2015-01-08,24.80508041381836,24.862720720656704,24.097883456887466,24.215381460812253,237458000,25.0,74.0
2015-01-09,24.83167839050293,25.106575520855507,24.43263280501306,24.977993977600683,214798000,25.0,74.0
2015-01-12,24.219818115234375,24.969135448943987,24.120057527235872,24.962484968593877,198603200,25.0,74.0
2015-01-13,24.434856414794922,25.006821335803178,24.144440865044796,24.703103135568583,268367600,25.0,74.0
2015-01-14,24.341745376586914,24.494711474568152,24.05354553692245,24.173259238412005,195826400,25.0,74.0
2015-01-15,23.68110466003418,24.39938521357673,23.645634871541997,24.38608425431382,240056000,25.0,74.0
2015-01-16,23.49710464477539,23.849595354822647,23.321967985130645,23.727664233749223,314053200,25.0,74.0
2015-01-20,24.10231590270996,24.157738813931655,23.610160180441635,23.907226172730866,199599600,25.0,74.0
2015-01-21,24.28632164001465,24.621074823456794,24.00255489901262,24.15330529304962,194303600,25.0,74.0
2015-01-22,24.91814422607422,24.933662575431267,24.324010478532255,24.443724184160846,215185600,25.0,74.0
2015-01-23,25.04672622680664,25.217428072632536,24.725272282705173,24.895975819904326,185859200,25.0,74.0
2015-01-26,25.073335647583008,25.352667715705067,25.006829139898358,25.215218226958775,222460000,25.0,74.0
2015-01-27,24.195425033569336,24.935875977807996,24.171038818283535,24.922573329505678,382274800,25.0,74.0
2015-01-28,25.56327247619629,26.186227378641483,25.56327247619629,26.077597214719916,585908400,25.0,74.0
2015-01-29,26.359142303466797,26.423433096590607,25.618691178673068,25.787177336812245,337745600,25.0,74.0
2015-01-30,25.97339630126953,26.602999818446985,25.904670734938115,26.24829349247566,334982000,25.0,74.0
2015-02-02,26.29928207397461,26.41899577815114,25.73396933307641,26.17070219145008,250956400,22.0,68.0
2015-02-03,26.30371856689453,26.401261757431495,26.073159013253253,26.270464476118452,207662800,22.0,68.0
2015-02-04,26.50545310974121,26.71606119188214,26.22833854748188,26.27046050218468,280598800,22.0,68.0
2015-02-05,26.694639205932617,26.75918372529074,26.54106770476852,26.71244324385506,168984800,22.0,68.0
2015-02-06,26.4698486328125,26.763636508266117,26.36301590626183,26.712445437657788,174826400,22.0,68.0
2015-02-09,26.645675659179688,26.67238256646888,26.35856451948115,26.385273124818873,155559200,22.0,68.0
2015-02-10,27.157573699951172,27.186508442480807,26.743601417936667,26.745825861171046,248034000,22.0,68.0
2015-02-11,27.794116973876953,27.80301984182764,27.26440906617443,27.324501302281014,294247200,22.0,68.0
2015-02-12,28.145769119262695,28.37278797867428,27.94768500160746,28.05674214886694,297898000,22.0,68.0
2015-02-13,28.28376579284668,28.328278436550338,27.96549546602483,28.328278436550338,217088800,22.0,68.0
2015-02-17,28.4506893157959,28.684384928549473,28.248152891669676,28.375015787666307,252609600,22.0,68.0
2015-02-18,28.64877700805664,28.662130462538304,28.36611643583812,28.406178497331744,179566800,22.0,68.0
