# GitHub: https://github.com/DiyarErol/Apple_Financial_and_Social_Analysis_Dataset
# Author: Diyar Erol
date,type,position,price,size,cost,pnl,pnl_pct
2015-03-13,entry,1,27.50700759887696,3631.801810534951,100.0,,
2015-03-17,exit,1,28.274864196777344,,,2688.802982485821,2.6888029824858206
2015-03-24,entry,-1,28.19696807861328,3634.6536937507353,102.58880298248583,,
2015-03-25,exit,-1,27.460268020629883,,,2575.1633727562366,2.575163372756237
2015-03-27,entry,1,27.43133544921875,3826.146793655155,105.06137755225957,,
2015-03-30,exit,1,28.125741958618164,,,2551.9449232571287,2.5519449232571287
2015-03-30,entry,-1,28.125741958618164,3818.592696857095,107.50826109796444,,
2015-03-31,exit,-1,27.693965911865234,,,1541.3761059716983,1.5413761059716984
2015-04-02,entry,1,27.892053604125977,3901.9424083494523,108.94212894283817,,
2015-04-06,exit,1,28.34385681152344,,,1654.0769083585744,1.6540769083585742
2015-04-27,entry,-1,29.52345466613769,3738.6131706710366,110.48726372225391,,
2015-04-30,exit,-1,27.854211807250977,,,6130.276560823916,6.1302765608239165
2015-04-30,entry,1,27.854211807250977,4178.561819366849,116.50705301935557,,
2015-05-01,exit,1,28.69996452331543,,,3417.6394620063993,3.4176394620063992
2015-05-04,entry,-1,28.644323348999023,4178.432696232525,119.8081854283426,,
2015-05-05,exit,-1,27.99887657165528,,,2577.2675408880955,2.5772675408880956
2015-05-07,entry,1,27.99514579772949,4363.019932867248,122.26564478380234,,
2015-05-08,exit,1,28.52259063720703,,,2179.1089689894657,2.179108968989466
2015-05-13,entry,1,28.16276359558105,4410.013427779781,124.32248810800802,,
2015-05-14,exit,1,28.81984519958496,,,2773.540531184419,2.773540531184419
2015-06-11,entry,-1,28.7393856048584,4413.620255802901,126.97170615108442,,
2015-06-12,exit,-1,28.422019958496094,,,1273.886710835715,1.2738867108357148
2015-06-25,entry,-1,28.49577713012696,4491.560344192059,128.11862115576903,,
2015-06-26,exit,-1,28.328149795532227,,,624.9177861337062,0.6249177861337062
2015-06-30,entry,1,28.03314018249512,4583.389661806705,128.61542032074698,,
2015-07-01,exit,1,28.29462623596192,,,1070.005669265942,1.070005669265942
2015-07-07,entry,-1,28.091251373291016,4607.386550325811,129.55681056969217,,
2015-07-09,exit,-1,26.8351993560791,,,5657.689916852655,5.6576899168526555
2015-07-09,entry,1,26.8351993560791,5028.8375704475,135.08494367597515,,
2015-07-13,exit,1,28.08454322814941,,,6147.797543543225,6.147797543543225
2015-07-20,entry,-1,29.517148971557617,4775.412379948708,141.09765627584238,,
2015-07-23,exit,-1,27.972795486450195,,,7233.968193179348,7.233968193179348
2015-07-24,entry,-1,27.825288772583008,5320.424075231994,148.19052681274587,,
2015-07-27,exit,-1,27.43864631652832,,,1909.0594954142546,1.9090594954142546
2015-07-29,entry,-1,27.487808227539062,5449.741323336404,149.95139578134737,,
2015-08-04,exit,-1,25.62161064147949,,,10020.492657873938,10.020492657873938
2015-08-07,entry,1,25.93515968322754,6156.203279891551,159.82193704343996,,
2015-08-10,exit,1,26.87808990478516,,,5645.208007555495,5.645208007555495
2015-08-10,entry,-1,26.87808990478516,6144.112783901264,165.30732311395198,,
2015-08-11,exit,-1,25.47940444946289,,,8428.539170911477,8.428539170911478
2015-08-11,entry,1,25.47940444946289,6805.37823208199,173.5705549617495,,
2015-08-14,exit,1,26.03394317626953,,,3600.4487958495856,3.6004487958495854
2015-08-17,entry,-1,26.303346633911133,6722.355076348803,176.99743320263732,,
2015-08-24,exit,-1,23.15126037597656,,,21012.622621346352,21.012622621346353
2015-08-24,entry,1,23.15126037597656,8536.693990858097,197.83305839078105,,
2015-08-27,exit,1,25.351438522338867,,,18584.612335536036,18.584612335536036
2015-08-31,entry,-1,25.31550979614257,8532.46170310865,216.2198376679263,,
2015-09-01,exit,-1,24.18399429321289,,,9438.609077390964,9.438609077390964
2015-09-01,entry,1,24.18399429321289,9312.638017945099,225.44222690764934,,
2015-09-02,exit,1,25.221221923828125,,,9434.108681449805,9.434108681449803
2015-09-02,entry,-1,25.221221923828125,9294.404655603188,234.6508933621915,,
2015-09-04,exit,-1,24.53197860717773,,,6171.690048649977,6.171690048649977
2015-09-04,entry,1,24.53197860717773,9797.307768507484,240.5879325174793,,
2015-09-08,exit,1,25.21449089050293,,,6446.43555093879,6.446435550938789
2015-09-08,entry,-1,25.21449089050293,9777.98788111272,246.7937801359006,,
2015-09-09,exit,-1,24.729549407958984,,,4495.204953007768,4.495204953007768
2015-09-09,entry,1,24.729549407958984,10141.35538744385,251.0421913087725,,
2015-09-11,exit,1,25.641048431396484,,,8993.044382870234,8.993044382870234
2015-09-16,entry,-1,26.13496780395508,9930.159901232364,259.7841935003339,,
2015-09-18,exit,-1,25.47042465209961,,,6339.495349886947,6.339495349886947
2015-09-18,entry,1,25.47042465209961,10427.70367513954,265.8639046567206,,
2015-09-21,exit,1,25.865554809570312,,,3854.7021544636527,3.8547021544636526
2015-09-21,entry,-1,25.865554809570312,10407.017832999376,269.45274290652753,,
2015-09-22,exit,-1,25.45920181274414,,,3959.739594299089,3.959739594299089
2015-09-23,entry,1,25.66574478149414,10631.67615244544,273.14302975792015,,
2015-09-24,exit,1,25.818416595458984,,,1350.2873969524535,1.3502873969524536
2015-09-25,entry,-1,25.753305435180664,10637.312349690144,274.2201741251147,,
2015-09-29,exit,-1,24.48483657836914,,,13219.153481807567,13.219153481807567
2015-09-29,entry,1,24.48483657836914,11716.555322194941,287.16510743279713,,
2015-09-30,exit,1,24.763227462768555,,,2974.904255935147,2.974904255935147
2015-09-30,entry,-1,24.763227462768555,11693.265515170644,289.8528465812995,,
2015-10-01,exit,-1,24.601577758789062,,,1600.6499153462205,1.6006499153462206
2015-10-08,entry,1,24.58362197875977,11831.96195653057,291.16364365006444,,
2015-10-09,exit,1,25.171836853027344,,,6668.86353459294,6.668863534592939
2015-10-19,entry,1,25.084272384643555,11849.807626050067,297.54134354100734,,
2015-10-20,exit,1,25.54227066040039,,,5129.947658583669,5.12994765858367
2015-10-22,entry,1,25.9306697845459,11649.192967866253,302.37374985605004,,
2015-10-23,exit,1,26.73440170288086,,,9060.756835011087,9.060756835011087
