# Author: Diyar Erol
,close,high,low,open,volume,apple iphone,macbook
close,1.0,0.9998539215694237,0.9998495564274447,0.9996786920181894,-0.5692797441066518,0.05105210989557064,0.25134623017266494
high,0.9998539215694237,1.0,0.9997884047512111,0.9998375015782911,-0.5660380654845307,0.05099983157831,0.25201905005494896
low,0.9998495564274447,0.9997884047512111,1.0,0.9998523120323104,-0.5722827841721705,0.05129628182969239,0.2504441994710099
open,0.9996786920181894,0.9998375015782911,0.9998523120323104,1.0,-0.5691131771477091,0.051358947252155264,0.2511102075882423
volume,-0.5692797441066518,-0.5660380654845307,-0.5722827841721705,-0.5691131771477091,1.0,-0.01064399598815834,0.03453596563912453
apple iphone,0.05105210989557064,0.05099983157831,0.05129628182969239,0.051358947252155264,-0.01064399598815834,1.0,0.31113955638848373
macbook,0.25134623017266494,0.25201905005494896,0.2504441994710099,0.2511102075882423,0.03453596563912453,0.31113955638848373,1.0
