# Author: Diyar Erol
date,capital,position_size,position_value,total_equity,position,close
2015-12-22,446997.4108186889,0.0,0.0,446997.4108186889,0,24.177038192749023
2015-12-23,446997.4108186889,0.0,0.0,446997.4108186889,0,24.488183975219727
2015-12-24,446997.4108186889,0.0,0.0,446997.4108186889,0,24.357406616210938
2015-12-28,446997.4108186889,0.0,0.0,446997.4108186889,0,24.084596633911133
2015-12-29,446550.4134078702,18213.542123633208,0.0,446550.4134078702,-1,24.51749420166016
2015-12-30,446550.4134078702,18213.542123633208,5831.2807850775425,452381.69419294776,-1,24.19733238220215
2015-12-31,460394.85552358674,0.0,0.0,460394.85552358674,0,23.73285865783692
2016-01-04,459934.46066806314,19363.08946828396,0.0,459934.46066806314,-1,23.753154754638672
2016-01-05,459934.46066806314,19363.08946828396,11525.715322653123,471460.17599071626,-1,23.15791320800781
2016-01-06,459934.46066806314,19363.08946828396,20300.94479580928,480235.4054638724,-1,22.70471954345703
2016-01-07,497831.60084880644,22892.513146461773,5.820766091346741e-11,497831.6008488065,1,21.74648094177246
2016-01-08,497831.60084880644,22892.513146461773,2632.3281241371296,500463.92897294357,1,21.861467361450195
2016-01-11,497831.60084880644,22892.513146461773,10735.974225831218,508567.57507463766,1,22.2154541015625
2016-01-12,514935.29956473486,22847.554054881446,0.0,514935.29956473486,-1,22.53787422180176
2016-01-13,527659.5240723394,0.0,0.0,527659.5240723394,0,21.95841789245605
2016-01-14,527131.8645482671,23492.11599544945,0.0,527131.8645482671,-1,22.438671112060547
2016-01-15,539263.9706969833,0.0,0.0,539263.9706969833,0,21.899799346923828
2016-01-19,538724.7067262863,24719.146371869592,0.0,538724.7067262863,1,21.7938232421875
2016-01-20,538910.5529451636,0.0,0.0,538910.5529451636,0,21.82313537597656
2016-01-21,538371.6423922183,24795.291827429464,0.0,538371.6423922183,1,21.712656021118164
2016-01-22,565890.4955048459,24746.97653052277,0.0,565890.4955048459,-1,22.867055892944336
2016-01-25,576372.1668415753,0.0,0.0,576372.1668415753,0,22.420635223388672
2016-01-26,575795.7946747338,25540.24849295728,0.0,575795.7946747338,-1,22.54464340209961
2016-01-27,612440.6985448881,29076.19205152531,0.0,612440.6985448881,1,21.063304901123047
2016-01-28,612440.6985448881,29076.19205152531,4392.36352285929,616833.0620677473,1,21.21436882019043
2016-01-29,636889.3933596648,29019.238506946254,0.0,636889.3933596648,-1,21.9471435546875
2016-02-01,636889.3933596648,29019.238506946254,5954.033861981821,642843.4272216466,-1,21.741968154907227
2016-02-02,654310.1455435589,30715.456452630257,0.0,654310.1455435589,1,21.302309036254883
2016-02-03,666606.06818773,0.0,0.0,666606.06818773,0,21.72392845153809
2016-02-04,665939.4621195423,30410.30338577256,0.0,665939.4621195423,-1,21.898481369018555
2016-02-05,682376.4605660589,32015.990532461663,0.0,682376.4605660589,1,21.31361389160156
2016-02-08,688879.5576886642,0.0,0.0,688879.5576886642,0,21.538047790527344
2016-02-09,688879.5576886642,0.0,0.0,688879.5576886642,0,21.53351783752441
2016-02-10,688879.5576886642,0.0,0.0,688879.5576886642,0,21.370290756225582
2016-02-11,688879.5576886642,0.0,0.0,688879.5576886642,0,21.24107551574707
2016-02-12,688190.6781309755,32299.085647821365,0.0,688190.6781309755,1,21.30681610107422
2016-02-16,688190.6781309755,32299.085647821365,19403.18187230383,707593.8600032793,1,21.90755081176757
2016-02-17,717024.6014080369,32235.87793474034,0.0,717024.6014080369,-1,22.243061065673828
2016-02-18,729899.9555436535,0.0,0.0,729899.9555436535,0,21.821407318115234
2016-02-19,729899.9555436535,0.0,0.0,729899.9555436535,0,21.771533966064453
2016-02-22,729899.9555436535,0.0,0.0,729899.9555436535,0,21.961963653564453
2016-02-23,729899.9555436535,0.0,0.0,729899.9555436535,0,21.46550369262696
2016-02-24,729899.9555436535,0.0,0.0,729899.9555436535,0,21.78513526916504
2016-02-25,729899.9555436535,0.0,0.0,729899.9555436535,0,21.934757232666016
2016-02-26,729899.9555436535,0.0,0.0,729899.9555436535,0,21.9687614440918
2016-02-29,729170.0555881098,33266.75344479583,0.0,729170.0555881098,1,21.91888236999512
2016-03-01,757399.7400903933,0.0,0.0,757399.7400903933,0,22.78938674926757
2016-03-02,756642.340350303,33129.02432838559,0.0,756642.340350303,1,22.839258193969727
2016-03-03,761518.3297479143,0.0,0.0,761518.3297479143,0,23.00927925109864
2016-03-04,761518.3297479143,0.0,0.0,761518.3297479143,0,23.351581573486328
2016-03-07,761518.3297479143,0.0,0.0,761518.3297479143,0,23.09315299987793
2016-03-08,761518.3297479143,0.0,0.0,761518.3297479143,0,22.90273094177246
2016-03-09,761518.3297479143,0.0,0.0,761518.3297479143,0,22.923139572143555
2016-03-10,760756.8114181664,33170.88966619902,-1.1641532182693481e-10,760756.8114181663,1,22.934471130371094
2016-03-11,768192.2293669897,0.0,0.0,768192.2293669897,0,23.181560516357425
2016-03-14,767424.0371376227,33020.970496224036,0.0,767424.0371376227,1,23.24050521850586
2016-03-15,767424.0371376227,33020.970496224036,15420.195139888674,782844.2322775114,1,23.70748710632324
2016-03-16,792481.8326369436,0.0,0.0,792481.8326369436,0,24.02259063720703
2016-03-17,792481.8326369436,0.0,0.0,792481.8326369436,0,23.984054565429688
2016-03-18,792481.8326369436,0.0,0.0,792481.8326369436,0,24.01125717163086
2016-03-21,791689.3508043066,32974.70542334144,0.0,791689.3508043066,1,24.008989334106445
2016-03-22,796952.6175854678,0.0,0.0,796952.6175854678,0,24.19261360168457
2016-03-23,796952.6175854678,0.0,0.0,796952.6175854678,0,24.058853149414062
2016-03-24,796952.6175854678,0.0,0.0,796952.6175854678,0,23.95458602905273
2016-03-28,796155.6649678823,33387.69729352365,0.0,796155.6649678823,1,23.845779418945312
2016-03-29,796155.6649678823,33387.69729352365,18845.85375586222,815001.5187237445,1,24.410234451293945
2016-03-30,828434.7191265373,0.0,0.0,828434.7191265373,0,24.8364200592041
2016-03-31,827606.2844074108,33496.551418919116,1.1641532182693481e-10,827606.2844074109,1,24.70720863342285
2016-04-01,834371.7655987501,0.0,0.0,834371.7655987501,0,24.93389129638672
2016-04-04,834371.7655987501,0.0,0.0,834371.7655987501,0,25.1900634765625
2016-04-05,834371.7655987501,0.0,0.0,834371.7655987501,0,24.8930892944336
2016-04-06,834371.7655987501,0.0,0.0,834371.7655987501,0,25.153785705566406
2016-04-07,834371.7655987501,0.0,0.0,834371.7655987501,0,24.60519218444824
2016-04-08,834371.7655987501,0.0,0.0,834371.7655987501,0,24.632396697998047
2016-04-11,833537.3938331513,33727.33812776483,0.0,833537.3938331513,1,24.713998794555664
2016-04-12,843560.9241397025,0.0,0.0,843560.9241397025,0,25.03590583801269
2016-04-13,843560.9241397025,0.0,0.0,843560.9241397025,0,25.39861869812012
2016-04-14,843560.9241397025,0.0,0.0,843560.9241397025,0,25.412221908569336
2016-04-15,842717.3632155628,33841.13172741077,1.1641532182693481e-10,842717.3632155629,-1,24.902162551879883
2016-04-18,860056.1987106564,0.0,0.0,860056.1987106564,0,24.36490058898925
2016-04-19,859196.1425119457,35451.68734865425,0.0,859196.1425119457,-1,24.23569107055664
2016-04-20,856569.1223604097,0.0,0.0,856569.1223604097,0,24.28555679321289
2016-04-21,856569.1223604097,0.0,0.0,856569.1223604097,0,24.02259063720703
2016-04-22,856569.1223604097,0.0,0.0,856569.1223604097,0,23.95685195922852
2016-04-25,856569.1223604097,0.0,0.0,856569.1223604097,0,23.82084083557129
2016-04-26,855712.5532380493,36174.16330580818,0.0,855712.5532380493,-1,23.655351638793945
2016-04-27,855712.5532380493,36174.16330580818,53548.71561518521,909261.2688532345,-1,22.175048828125
2016-04-28,855712.5532380493,36174.16330580818,78067.88044729107,933780.4336853403,-1,21.49724006652832
2016-04-29,941863.2489188674,0.0,0.0,941863.2489188674,0,21.25014305114746
2016-05-02,940921.3856699485,44325.64026432241,0.0,940921.3856699485,1,21.227474212646484
2016-05-03,955454.9730278318,0.0,0.0,955454.9730278318,0,21.576583862304688
2016-05-04,955454.9730278318,0.0,0.0,955454.9730278318,0,21.352163314819336
2016-05-05,955454.9730278318,0.0,0.0,955454.9730278318,0,21.265493392944336
2016-05-06,955454.9730278318,0.0,0.0,955454.9730278318,0,21.14688873291016
2016-05-09,955454.9730278318,0.0,0.0,955454.9730278318,0,21.162860870361328
2016-05-10,955454.9730278318,0.0,0.0,955454.9730278318,0,21.30653953552246
2016-05-11,955454.9730278318,0.0,0.0,955454.9730278318,0,21.098995208740234
2016-05-12,955454.9730278318,0.0,0.0,955454.9730278318,0,20.60407447814941
2016-05-13,954499.518054804,46233.64439739725,0.0,954499.518054804,1,20.64512825012207
2016-05-16,987986.4814000261,46142.876429111544,0.0,987986.4814000261,-1,21.41146278381348
2016-05-17,991103.2190659983,0.0,0.0,991103.2190659983,0,21.32250595092773
2016-05-18,991103.2190659983,0.0,0.0,991103.2190659983,0,21.56654167175293
2016-05-19,990112.1158469323,46085.08346816424,0.0,990112.1158469323,1,21.484437942504883
2016-05-20,990112.1158469323,46085.08346816424,10720.938444827218,1000833.0542917595,1,21.717071533203125
2016-05-23,990112.1158469323,46085.08346816424,23438.88428122783,1013551.0001281601,1,21.993038177490234
2016-05-24,990112.1158469323,46085.08346816424,38890.00269712508,1029002.1185440574,1,22.328311920166016
2016-05-25,1046090.1138359014,0.0,0.0,1046090.1138359014,0,22.72058868408203
2016-05-26,1046090.1138359014,0.0,0.0,1046090.1138359014,0,22.900768280029297
2016-05-27,1046090.1138359014,0.0,0.0,1046090.1138359014,0,22.887081146240234
2016-05-31,1046090.1138359014,0.0,0.0,1046090.1138359014,0,22.77532958984375
2016-06-01,1046090.1138359014,0.0,0.0,1046090.1138359014,0,22.456031799316406
2016-06-02,1046090.1138359014,0.0,0.0,1046090.1138359014,0,22.287250518798828
2016-06-03,1046090.1138359014,0.0,0.0,1046090.1138359014,0,22.33287048339844
2016-06-06,1046090.1138359014,0.0,0.0,1046090.1138359014,0,22.494792938232425
2016-06-07,1046090.1138359014,0.0,0.0,1046090.1138359014,0,22.58603286743164
2016-06-08,1046090.1138359014,0.0,0.0,1046090.1138359014,0,22.56550407409668
2016-06-09,1045044.0237220655,45981.610437941126,0.0,1045044.0237220655,-1,22.727434158325195
2016-06-10,1052598.6059150065,0.0,0.0,1052598.6059150065,0,22.5404109954834
2016-06-13,1052598.6059150065,0.0,0.0,1052598.6059150065,0,22.200580596923828
2016-06-14,1052598.6059150065,0.0,0.0,1052598.6059150065,0,22.22795486450196
2016-06-15,1052598.6059150065,0.0,0.0,1052598.6059150065,0,22.154972076416016
