# Author: Diyar Erol
date,equity,position
2016-04-11,65617.2069534039,0
2016-04-12,65617.2069534039,0
2016-04-13,65617.2069534039,0
2016-04-14,65617.2069534039,0
2016-04-15,65910.72867274917,1
2016-04-18,65993.8057021132,-1
2016-04-19,67269.42729606426,1
2016-04-20,67202.15786876819,0
2016-04-21,67874.48262023128,-1
2016-04-22,67806.60813761105,0
2016-04-25,67939.58388581943,1
2016-04-26,67871.64430193361,0
2016-04-27,67871.64430193361,0
2016-04-28,67871.64430193361,0
2016-04-29,67871.64430193361,0
2016-05-02,67871.64430193361,0
2016-05-03,67871.64430193361,0
2016-05-04,67335.74696518581,-1
2016-05-05,66456.95692977941,-1
2016-05-06,66947.781698726,1
2016-05-09,66850.84053281834,-1
2016-05-10,67398.70741749505,1
2016-05-11,67331.30871007756,0
2016-05-12,66338.41945815703,-1
2016-05-13,66303.96778289085,1
2016-05-16,66237.66381510795,0
2016-05-17,66237.66381510795,0
2016-05-18,66237.66381510795,0
2016-05-19,66237.66381510795,0
2016-05-20,66446.69166236294,-1
2016-05-23,66380.24497070057,0
2016-05-24,66380.24497070057,0
2016-05-25,65470.55274564712,-1
2016-05-26,65405.08219290147,0
2016-05-27,65405.08219290147,0
2016-05-31,65405.08219290147,0
2016-06-01,66502.46653819368,1
2016-06-02,66166.04201862629,-1
2016-06-03,66791.64790310146,1
2016-06-06,66724.85625519836,0
2016-06-07,66724.85625519836,0
2016-06-08,66724.85625519836,0
2016-06-09,66724.85625519836,0
2016-06-10,66724.85625519836,0
2016-06-13,66457.59588100368,1
2016-06-14,66391.13828512268,0
2016-06-15,66391.13828512268,0
2016-06-16,66391.13828512268,0
2016-06-17,66391.13828512268,0
2016-06-20,66391.13828512268,0
2016-06-21,66391.13828512268,0
2016-06-22,66391.13828512268,0
2016-06-23,63581.50947514775,1
2016-06-24,62976.202738877684,-1
2016-06-27,60844.330719852405,1
2016-06-28,60783.48638913255,0
2016-06-29,60783.48638913255,0
2016-06-30,60783.48638913255,0
2016-07-01,58734.0644422185,-1
2016-07-05,58675.33037777628,0
2016-07-06,58675.33037777628,0
2016-07-07,58675.33037777628,0
2016-07-08,58949.85741769217,-1
2016-07-11,58890.90756027448,0
2016-07-12,60007.8265583112,1
2016-07-13,59947.81873175289,0
2016-07-14,59947.81873175289,0
2016-07-15,59947.81873175289,0
2016-07-18,59947.81873175289,0
2016-07-19,59947.81873175289,0
2016-07-20,59947.81873175289,0
2016-07-21,59947.81873175289,0
2016-07-22,59067.47546411271,-1
2016-07-25,59008.40798864859,0
2016-07-26,59008.40798864859,0
2016-07-27,59008.40798864859,0
2016-07-28,59008.40798864859,0
2016-07-29,59008.40798864859,0
2016-08-01,59008.40798864859,0
2016-08-02,59008.40798864859,0
2016-08-03,59008.40798864859,0
2016-08-04,57763.7079325579,-1
2016-08-05,56739.97575693867,1
2016-08-08,57126.07626436974,-1
2016-08-09,57068.950188105366,0
2016-08-10,56855.75694700553,1
2016-08-11,56798.901190058525,0
2016-08-12,59433.38433142669,-1
2016-08-15,57583.16786587147,1
2016-08-16,56576.68349535407,1
2016-08-17,58363.16791804772,-1
2016-08-18,59304.81442515109,1
2016-08-19,59044.818557870705,-1
2016-08-22,58985.773739312834,0
2016-08-23,58985.773739312834,0
2016-08-24,58985.773739312834,0
2016-08-25,58985.773739312834,0
2016-08-26,58985.773739312834,0
2016-08-29,59673.22713121798,1
2016-08-30,59613.55390408676,0
2016-08-31,59613.55390408676,0
2016-09-01,59613.55390408676,0
2016-09-02,60649.26669437375,1
2016-09-06,60239.131652180826,-1
2016-09-07,60178.89252052864,0
2016-09-08,60178.89252052864,0
2016-09-09,60178.89252052864,0
2016-09-12,60178.89252052864,0
2016-09-13,63050.54195611685,-1
2016-09-14,53385.61803611535,-1
2016-09-15,51020.15900143969,1
2016-09-16,53091.28773804153,1
2016-09-19,53038.19645030349,0
2016-09-20,52832.79970736565,1
2016-09-21,52779.96690765829,0
2016-09-22,52779.96690765829,0
2016-09-23,52779.96690765829,0
2016-09-26,54468.76904578499,1
2016-09-27,54414.3002767392,0
2016-09-28,53304.835487289085,-1
2016-09-29,53251.5306518018,0
2016-09-30,53251.5306518018,0
2016-10-03,53251.5306518018,0
2016-10-04,53251.5306518018,0
2016-10-05,53251.5306518018,0
2016-10-06,53251.5306518018,0
2016-10-07,53251.5306518018,0
2016-10-10,53043.48363905755,1
2016-10-11,52990.440155418495,0
2016-10-12,52990.440155418495,0
2016-10-13,52990.440155418495,0
2016-10-14,52990.440155418495,0
2016-10-17,52990.440155418495,0
2016-10-18,52990.440155418495,0
2016-10-19,52665.28200374044,1
2016-10-20,52612.6167217367,0
2016-10-21,53123.78116985,-1
2016-10-24,52529.97228218144,1
2016-10-25,52477.44230989926,0
2016-10-26,52561.670978777336,-1
2016-10-27,50870.040772461674,1
2016-10-28,52156.96387853332,1
2016-10-31,51998.05456224803,-1
2016-11-01,51946.05650768578,0
2016-11-02,51946.05650768578,0
2016-11-03,51946.05650768578,0
2016-11-04,51946.05650768578,0
2016-11-07,51946.05650768578,0
2016-11-08,51946.05650768578,0
2016-11-09,50992.04444456706,-1
2016-11-10,50941.05240012249,0
2016-11-11,50941.05240012249,0
2016-11-14,49863.37689402646,1
2016-11-15,49658.50620052683,-1
2016-11-16,48875.0149570843,1
2016-11-17,48826.139942127214,0
2016-11-18,48045.76559546978,1
2016-11-21,47997.71982987431,0
2016-11-22,47997.71982987431,0
2016-11-23,47997.71982987431,0
2016-11-25,47997.71982987431,0
2016-11-28,47600.39505833191,-1
2016-11-29,47373.20580339701,1
2016-11-30,47392.061298371045,1
2016-12-01,47344.669237072674,0
2016-12-02,47344.669237072674,0
2016-12-05,48300.382962797376,1
2016-12-06,48252.082579834576,0
2016-12-07,48252.082579834576,0
2016-12-08,48141.81604549714,-1
2016-12-09,48304.05051071499,1
2016-12-12,48255.746460204275,0
2016-12-13,48255.746460204275,0
2016-12-14,48738.53347800445,-1
2016-12-15,48755.3059283972,1
2016-12-16,48706.55062246881,0
2016-12-19,48706.55062246881,0
2016-12-20,48877.61942943534,1
2016-12-21,48479.58374268905,-1
2016-12-22,48431.104158946364,0
2016-12-23,48277.88060521252,1
2016-12-27,48229.602724607306,0
2016-12-28,48229.602724607306,0
2016-12-29,48229.602724607306,0
2016-12-30,48229.602724607306,0
2017-01-03,48229.602724607306,0
2017-01-04,48229.602724607306,0
2017-01-05,49336.64514172039,-1
2017-01-06,49473.96630463625,1
2017-01-09,49424.49233833161,0
2017-01-10,51836.653818664105,1
2017-01-11,51784.81716484544,0
2017-01-12,51784.81716484544,0
2017-01-13,51784.81716484544,0
2017-01-17,52243.14808004952,1
2017-01-18,52190.90493196947,0
2017-01-19,52190.90493196947,0
2017-01-20,51820.24805986344,1
2017-01-23,51872.92267586043,-1
2017-01-24,51695.185409446545,1
2017-01-25,52609.93972478837,-1
2017-01-26,52868.32044532347,-1
2017-01-27,52815.452124878146,0
2017-01-30,52570.966827296914,1
2017-01-31,52518.395860469616,0
2017-02-01,52518.395860469616,0
2017-02-02,52518.395860469616,0
2017-02-03,52518.395860469616,0
2017-02-06,52518.395860469616,0
2017-02-07,50416.94095280722,-1
2017-02-08,50592.50794946758,1
2017-02-09,50541.91544151811,0
2017-02-10,50541.91544151811,0
2017-02-13,51189.34390816522,-1
2017-02-14,51138.15456425705,0
2017-02-15,51764.99439166736,1
2017-02-16,51713.22939727569,0
2017-02-17,51713.22939727569,0
2017-02-21,51713.22939727569,0
2017-02-22,51713.22939727569,0
2017-02-23,51713.22939727569,0
2017-02-24,49956.59060771604,-1
2017-02-27,49906.63401710832,0
2017-02-28,49906.63401710832,0
2017-03-01,50221.82935107309,-1
2017-03-02,51027.2275350461,1
2017-03-03,50976.200307511055,0
2017-03-06,51079.37083160422,-1
2017-03-07,51017.285300376396,1
2017-03-08,50966.26801507602,0
2017-03-09,50966.26801507602,0
2017-03-10,50966.26801507602,0
2017-03-13,50966.26801507602,0
2017-03-14,50905.94424332672,-1
2017-03-15,51117.10045513848,1
2017-03-16,51065.98335468335,0
2017-03-17,51065.98335468335,0
2017-03-20,51460.4605560168,1
2017-03-21,51409.00009546078,0
2017-03-22,51409.00009546078,0
2017-03-23,51409.00009546078,0
2017-03-24,51409.00009546078,0
2017-03-27,53329.63441621545,1
2017-03-28,53115.41024936177,-1
2017-03-29,52137.700233899464,1
2017-03-30,51805.92933684634,-1
2017-03-31,52347.65954251249,1
2017-04-03,52295.31188296998,0
2017-04-04,52295.31188296998,0
2017-04-05,52295.31188296998,0
2017-04-06,51861.75134540595,-1
2017-04-07,51809.88959406054,0
2017-04-10,51453.828783850026,1
2017-04-11,51161.969014562055,-1
2017-04-12,51078.555412283684,1
2017-04-13,51027.4768568714,0
